I_allsky,I_clearsky,Cloud_Amount
0.57,1.13,87.67
1.35,2.28,79.56
2.33,3.93,79.03
3.82,6.04,68.85
4.5,7.57,72.5
5.14,8.03,68.81
5.54,7.39,60.61
4.08,6.41,78.06
2.58,4.58,80.24
1.32,2.68,81.55
0.83,1.44,78.9
0.48,0.87,86.13
0.58,1.15,86.35
1.28,2.28,81.73
2.6,3.94,75.91
3.63,5.8,74.92
4.15,7.33,84.35
5.04,8.07,75.2
5.28,7.6,62.81
4.05,6.36,78.9
3.04,4.46,69.8
1.49,2.74,82.06
0.78,1.39,80.89
0.49,0.88,83.15
0.67,1.17,83.88
1.29,2.29,78.92
2.36,4.01,73.06
4.31,6.04,62.79
4.44,7.6,82.77
5.4,8.17,72.69
4.63,7.69,77.48
3.99,6.41,76.14
3.23,4.68,66.94
1.65,2.74,77.1
0.62,1.39,84.41
0.37,0.84,88.72
0.57,1.12,87.41
1.41,2.32,80.36
2.47,4.11,76.74
3.83,6.08,76.26
5,7.38,69.31
4.75,7.93,79.18
4.49,7.77,81.44
4.03,6.32,76.58
2.81,4.54,76.65
1.74,2.72,75.86
0.82,1.44,74.92
0.48,0.86,82.11
0.6,1.17,76.6
1.05,2.25,86.49
2.43,4.02,80.28
3.81,6.06,75.86
4.94,7.49,65.21
4.45,8.06,82.11
4.85,7.68,78.17
4.06,6.38,77.41
2.65,4.49,79.75
1.39,2.7,85.09
0.85,1.43,80.02
0.46,0.88,83.02
0.63,1.16,83.88
1.49,2.31,70.78
2.3,3.99,87.22
3.39,5.9,78.88
5.59,7.42,56.02
6.17,8.04,56.71
5.43,7.62,57.84
3.85,6.21,76.04
2.82,4.63,78.21
1.63,2.78,71.83
0.78,1.39,79.46
0.46,0.86,89.05
0.65,1.19,85.44
1.56,2.27,75.26
2.43,4.05,83.18
4.03,5.74,74.34
4.98,7.52,76.55
4.79,7.99,78.03
4.76,7.51,76.11
4.1,6.25,74.33
2.89,4.55,73.57
1.67,2.78,75.78
0.71,1.37,84.21
0.49,0.86,82.74
0.61,1.15,83.44
1.25,2.3,84.37
2.86,4.12,71.82
4.62,6.02,63.55
5.9,7.63,56.92
4.66,7.89,80.6
4.22,7.71,82.85
3.87,6.19,74.67
3.1,4.49,66.98
1.47,2.73,84.45
0.76,1.38,84.19
0.47,0.87,86.7
0.61,1.18,87.3
1.37,2.26,80.88
2.42,4.02,82.39
4.78,6.04,57.17
4.64,7.56,76.38
5.32,8.13,75.18
5.16,7.46,65.8
3.9,6.27,73.85
2.82,4.5,77.49
1.49,2.73,85.32
0.84,1.42,81.79
0.42,0.86,86.91
0.72,1.19,76.98
1.23,2.3,82.21
2.77,3.92,57.5
4.04,5.99,71.42
4.61,7.52,83.2
5.31,8.21,73.07
4.99,7.66,78.07
4.7,6.36,63.88
2.93,4.59,76.75
1.66,2.75,76.53
0.76,1.4,77.93
0.55,0.88,75.49
